Year,gold,silver
2022,52950,2715
2021,50045,2720
2020,48651,3105
2019,35220,3570
2018,31438,3955
2017,29667,4015
2016,28623,4794
2015,26343,6066
2014,28006,6755
2013,29600,6463
2012,31050,6646
2011,26400,8040
2010,18500,5489
2009,14500,7124
2008,12500,6335
2007,10800,7346
2006,8400,7345
2005,7000,8560
2004,5850,7615
2003,5600,7900
2002,4990,7215
2001,4300,7875
2000,4400,7695
1999,4234,11770
1998,4045,10675
1997,4725,17405
1996,5160,19520
1995,4680,23625
1994,4598,22165
1993,4140,27255
1992,4334,56900
1991,3466,56290
1990,3200,54030
1989,3140,43070
1988,3130,37825
1987,2570,36990
1986,2140,37825
1985,2130,41400
1984,1970,40600
1983,1800,63435
1982,1645,62572
1981,1800,55100
